img_id,caption_id,root_Tense_error_sent1
317330,405405,Мужчина будет смотреть поверх очков в галстуке и подтяжках.
111347,525958,"Малыш будет улыбаться перед игрушечным поездом, стоящим на столе."
384242,455129,Человек в океане будет устанавливать доску для виндсерфинга.
83013,33877,Слон будет гулять по своему загону у всех на виду.
272599,593483,Мужчина будет держаться за доску для серфинга и плывет.
455666,263911,Молодой человек в официальной одежде будет позировать перед камерой.
373768,453523,Два мальчика будут играть в игры Wii по телевизору.
462324,810037,мужчина скейтбордист в белой рубашке будет делать трюк
504747,333173,Женщина будет стоять на кухне и готовит еду.
92894,423148,Бейсболист будет становиться в стойку для отбивания мяча.
37783,272840,Мальчик будет кататься на скейтборде по рампе.
63965,318929,"Женщина будет держать тарелку с тортом, покрытым глазурью."
5032,206848,Женщина и ребенок будут стоять на лыжах в снегу.
85527,439728,Мужчина в смокинге будет держать пиво
330911,735339,Человек будет лететь по воздуху во время катания на сноуборде.
370208,731512,Велосипед будет припаркован перед парковочным счетчиком.
443053,38064,молодой человек будет кататься на доске для серфинга на волне
418625,183151,Две зебры будут лежать на земле рядом друг с другом.
462031,773286,Мужчина будет держать биту на поле под фонарем.
174633,383675,Взрослый на лыжах будет держать за руку ребенка на лыжах.
42752,634861,мужчина будет сидеть лицом к большому окну
88360,318860,Две женщины будут играть друг против друга во фрисби.
481895,610516,Два серфера будут кататься на волнах недалеко от пляжа.
248786,782719,Группа людей в ресторане хорошо будет проводить время и наслаждается пиццей
217654,442950,Мужчина будет лететь высоко в воздухе во время виндсерфинга.
234518,323876,Девушка будет ловить брошенную ей красную фрисби.
478906,378191,"Три человека будут улыбаться и позировать, стоя вместе."
114481,573118,Бейсболист будет стоять рядом с базой.
212663,226656,Автобус будет парковаться рядом с другим автобусом на автобусной остановке.
233090,274573,Лодка будет плыть в гавани очень большого города.
422274,495495,Человек будет кататься на доске для серфинга по воде.
168353,782333,пара человек будут разрезать торт
451879,475764,"Бейсболисты во время игры, один человек, одетый в зеленое, будет бежать, а другие в белом будут смотреть и тянуться к мячу."
477144,547615,Бейсболист будет стоять рядом с домашней базой и держать биту.
484681,3007,Маленький мальчик будет улыбаться в камеру и тянуть рюкзак.
143120,478839,Мужчина будет держать печенье или пончик рядом со ртом.
310445,391429,Люди будут сидеть за столом и есть
342204,490795,Пара женщин будут есть вместе.
54344,522343,Люди будут готовиться к посадке в легкий самолет на взлетно-посадочной полосе.
262394,100797,Мотоцикл будет припаркован вдоль улицы рядом со зданием.
355513,32158,"Мужчина будет стоять на сноуборде у леса,"
58651,167229,Зеленый поезд будет проходить через депо.
225405,73722,Два мальчика будут играть с футбольным мячом.
490620,477788,Маленькая девочка будет сидеть у свежеприготовленной пиццы.
296524,676086,Мужчина будет поправлять галстук с расплывчатой ​​рукой.
115765,268772,Группа молодых женщин будет стоять под деревьями в парке.
116341,226755,Группа детей будет сидеть за столом и ест кусочки торта.
463690,66080,Мужчина будет лежать на тротуаре с одной ногой в воздухе.
355394,73034,Серфер будет кататься на волне в зеленом океане.
307531,493704,собака будет бежать к фрисби в воздухе
320944,685970,Толпа людей будет идти по улице.
419444,436626,Молодой человек будет кататься на скейтборде в наушниках.
379144,47252,Синий самосвал будет ехать по шоссе.
188866,690907,Девушка будет сидеть с пончиком в руке.
65655,815215,группа людей будет сидеть за столом с тарелками с едой
258395,712380,Красная пожарная машина будет ехать по улице.
190637,88188,маленький ребенок будет лежать в постели и играть в nintendo wii
537069,475392,Мальчик будет бить битой по мячу.
391222,433850,Две лыжницы будут стоять на снегу в фиолетовых костюмах.
324340,416782,Женщина будет держать в одной руке три яблока.
477500,807115,Два человека будут сидеть на мопедах на улице.
556248,472605,Птицы будут гулять по большой скале у океана
559047,610152,Кошка будет сидеть на деревянном сиденье.
37907,472464,кошка будет лежать на разной электронике
87377,246997,красивая кошка будет прятаться внутри коричневого чемодана
380117,78607,Кот будет лежать свернувшись калачиком на столе в окружении зелени.
87595,518807,Белый кот будет сидеть на кровати рядом с тумбочкой.
503668,414369,Лохматая собака будет лежать на зеленом и синем одеяле.
515668,147653,Собака будет гоняться за белой фрисби в грязном травяном парке.
206831,714576,Большая коричневая собака будет держать во рту неоновую фрисби.
349776,225276,Собака будет стоять рядом с кошкой в ​​грязном поле.
368088,494887,Стадо лошадей будет стоять на берегу у воды
384513,562717,маленькая лошадь будет привязана к телеге на обочине дороги
74460,737980,пара лошадей будет пастись на зеленой траве
345209,74335,Детеныш лошади будет пить молоко своей матери.
460682,701597,лошадь будет лежать в поле
369849,302077,Три лошади будут пастись на траве возле уличного знака.
242342,102662,Две лошади вместе будут бежать по травянистому полю
23937,701648,маленькая овца будет лежать в поле
572408,305022,Корова будет стоять в поле с коровой поменьше.
437931,640543,Стадо овец будет стоять на покрытом травой поле.
191533,101378,Две овцы будут пастись в зеленом поле с деревьями на заднем плане.
374100,544197,Две коровы в поле будут смотреть в камеру.
237566,111229,Две черные коровы будут пастись на травянистом поле
310618,326535,Корова будет пытаться набрать воды из протекающей трубы.
92145,480808,Несколько очень красивых коричневых коров будут есть возле забора.
213961,597283,Две коровы будут гулять по песчаным дюнам на пляже.
545958,671544,Корова будет стоять возле белого здания с синим входом.
