img_id,caption_id,root_Tense_error_sent
317330,405405,Мужчина смотрел поверх очков в галстуке и подтяжках.
111347,525958,"Малыш улыбался перед игрушечным поездом, стоящим на столе."
384242,455129,Человек в океане устанавливал доску для виндсерфинга.
83013,33877,Слон гулял по своему загону у всех на виду.
272599,593483,Мужчина держался за доску для серфинга и плывет.
455666,263911,Молодой человек в официальной одежде позировал перед камерой.
373768,453523,На ветру летают два воздушных змея.
462324,810037,мужчина скейтбордист в белой рубашке делал трюк
504747,333173,Женщина стояла на кухне и готовит еду.
92894,423148,Бейсболист становился в стойку для отбивания мяча.
37783,272840,Мальчик катался на скейтборде по рампе.
63965,318929,"Женщина держала тарелку с тортом, покрытым глазурью."
5032,206848,Женщина и ребенок стояли на лыжах в снегу.
85527,439728,Мужчина в смокинге держал пиво
330911,735339,Человек летел по воздуху во время катания на сноуборде.
370208,731512,Велосипед был припаркован перед парковочным счетчиком.
443053,38064,молодой человек катался на доске для серфинга на волне
418625,183151,Две зебры лежали на земле рядом друг с другом.
462031,773286,Мужчина держал биту на поле под фонарем.
174633,383675,Взрослый на лыжах держал за руку ребенка на лыжах.
42752,634861,мужчина сидел лицом к большому окну
88360,318860,Две женщины играли друг против друга во фрисби.
481895,610516,Два серфера катались на волнах недалеко от пляжа.
248786,782719,Группа людей в ресторане хорошо проводила время и наслаждалась пиццей
217654,442950,Мужчина летел высоко в воздухе во время виндсерфинга.
234518,323876,Девушка ловила брошенную ей красную фрисби.
478906,378191,"Три человека улыбались и позировали, стоя вместе."
114481,573118,Бейсболист стоял рядом с базой.
212663,226656,Автобус припарковывается рядом с другим автобусом на автобусной остановке.
233090,274573,Лодка плыла в гавани очень большого города.
422274,495495,Человек катался на доске для серфинга по воде.
168353,782333,пара человек разрежут торт
451879,475764,"Бейсболисты во время игры, один человек, одетый в зеленое, бежал, а другие в белом смотрели и тянулись к мячу."
477144,547615,Бейсболист стоял рядом с домашней базой и держал биту.
484681,3007,Маленький мальчик улыбался в камеру и тянул рюкзак.
143120,478839,Мужчина держал печенье или пончик рядом со ртом.
310445,391429,Люди сидели за столом и ели
342204,490795,Пара женщин ели вместе.
54344,522343,Люди готовились к посадке в легкий самолет на взлетно-посадочной полосе.
262394,100797,Мотоцикл был припаркован вдоль улицы рядом со зданием.
355513,32158,"Мужчина стоял на сноуборде у леса,"
58651,167229,Зеленый поезд проходил через депо.
225405,73722,Два мальчика играли с футбольным мячом.
490620,477788,Маленькая девочка сидела у свежеприготовленной пиццы.
296524,676086,Мужчина поправлял галстук с расплывчатой ​​рукой.
115765,268772,Группа молодых женщин стояла под деревьями в парке.
116341,226755,Группа детей сидела за столом и ест кусочки торта.
463690,66080,Мужчина лежал на тротуаре с одной ногой в воздухе.
355394,73034,Серфер катался на волне в зеленом океане.
307531,493704,собака бежала к фрисби в воздухе
320944,685970,Толпа людей шла по улице.
419444,436626,Молодой человек катался на скейтборде в наушниках.
379144,47252,Синий самосвал ехал по шоссе.
188866,690907,Девушка сидела с пончиком в руке.
65655,815215,группа людей сидела за столом с тарелками с едой
258395,712380,Красная пожарная машина ехала по улице.
190637,88188,маленький ребенок лежал в постели и играл в nintendo wii
537069,475392,Мальчик бил битой по мячу.
391222,433850,Две лыжницы стояли на снегу в фиолетовых костюмах.
324340,416782,Женщина держала в одной руке три яблока.
477500,807115,Два человека сидели на мопедах на улице.
556248,472605,Птицы гуляли по большой скале у океана
559047,610152,Кошка сидела на деревянном сиденье.
37907,472464,кошка лежала на разной электронике
87377,246997,красивая кошка пряталась внутри коричневого чемодана
380117,78607,Кот лежал свернувшись калачиком на столе в окружении зелени.
87595,518807,Белый кот сидел на кровати рядом с тумбочкой.
503668,414369,Лохматая собака лежала на зеленом и синем одеяле.
515668,147653,Собака гонялась за белой фрисби в грязном травяном парке.
206831,714576,Большая коричневая собака держала во рту неоновую фрисби.
349776,225276,Собака стояла рядом с кошкой в ​​грязном поле.
368088,494887,Стадо лошадей стояло на берегу у воды
384513,562717,маленькая лошадь была привязана к телеге на обочине дороги
74460,737980,пара лошадей паслась на зеленой траве
