img_id,caption_id,lem_sent
317330,405405,мужчина смотреть поверх очко в галстук и подтяжка .
111347,525958,"малыш улыбаться перед игрушечный поезд , стоить на стол ."
384242,455129,человек в океан устанавливать доска для виндсерфинг .
83013,33877,слон гулять по свой загон у весь на вид .
272599,593483,мужчина держаться за доска для серфинг и плыть .
455666,263911,молодой человек в официальный одежда позировать перед камера .
373768,453523,два мальчик играть в игра wii по телевизор .
462324,810037,мужчина скейтбордист в белый рубашка делать трюк
504747,333173,женщина стоить на кухня и готовить еда .
116434,270631,"силуэт человек , плыть по волна ."
92894,423148,бейсболист становиться в стойка для отбивание мяч .
37783,272840,мальчик кататься на скейтборд по рампа .
63965,318929,"женщина держать тарелка с торт , покрыть глазурь ."
5032,206848,женщина и ребенок стоять на лыжа в снег .
85527,439728,мужчина в смокинг держать пиво
330911,735339,человек лететь по воздух в время катание на сноуборд .
370208,731512,велосипед припарковать перед парковочный счетчик .
443053,38064,молодой человек кататься на доска для серфинг на волна
331604,219543,кайтсерфер в воздух на красный доска .
418625,183151,два зебра лежать на земля рядом друг с друг .
462031,773286,мужчина держать бита на поле под фонарь .
174633,383675,взрослый на лыжа держать за рука ребенок на лыжа .
42752,634861,мужчина сидеть лицо к большой окно
105960,77257,виндсерфер в океан на фон пляж .
88360,318860,два женщина играть друг против друг в фрисби .
481895,610516,два серфер кататься на волна недалеко от пляж .
248786,782719,группа человек в ресторан хорошо проводить время и наслаждаться пицца
217654,442950,мужчина лететь высоко в воздух в время виндсерфинг .
234518,323876,девушка ловить бросить она красный фрисби .
478906,378191,"три человек улыбаться и позировать , стоить вместе ."
114481,573118,бейсболист стоить рядом с база .
212663,226656,автобус припарковаться рядом с другой автобус на автобусный остановка .
233090,274573,лодка плыть в гавань очень большой город .
422274,495495,человек кататься на доска для серфинг по вода .
168353,782333,пара человек разрезать торт
404847,677052,группа человек с зонт на дорога .
451879,475764,"бейсболист в время игра , один человек , одеть в зеленый , бежать , а другой в белый смотреть и тянуться к мяч ."
477144,547615,бейсболист стоить рядом с домашний база и держать бита .
484681,3007,маленький мальчик улыбаться в камера и тянуть рюкзак .
403675,755328,парень с бейсбольный бита готовый играть
143120,478839,мужчина держать печение или пончик рядом с рот .
310445,391429,человек сидеть за стол и есть
342204,490795,пара женщина есть вместе .
54344,522343,человек готовиться к посадка в легкий самолет на взлетно-посадочный полоса .
262394,100797,мотоцикл припарковать вдоль улица рядом с здание .
355513,32158,"мужчина стоить на сноуборд у лес ,"
186218,274363,двое мужчина снаружи с пальто и зонтик .
58651,167229,зеленый поезд проходить через депо .
225405,73722,два мальчик играть с футбольный мяч .
490620,477788,маленький девочка сидеть у свежеприготовленный пицца .
296524,676086,мужчина поправлять галстук с расплывчатый ​​рукой .
115765,268772,группа молодой женщина стоить под дерево в парк .
116341,226755,группа ребенок сидеть за стол и есть кусочек торт .
463690,66080,мужчина лежать на тротуар с один нога в воздух .
355394,73034,серфер кататься на волна в зеленый океан .
224114,567059,курортный отель с зонтик и шезлонг .
307531,493704,собака бежать к фрисби в воздух
473250,459747,"картина женщина , держать красный зонт"
20070,60957,мужчина с фен в маленький ванная
