img_id,caption_id,sent
317330,405405,Мужчина смотрит поверх очков в галстуке и подтяжках.
111347,525958,"Малыш улыбается перед игрушечным поездом, стоящим на столе."
384242,455129,Человек в океане устанавливает доску для виндсерфинга.
83013,33877,Слон гуляет по своему загону у всех на виду.
272599,593483,Мужчина держится за доску для серфинга и плывет.
455666,263911,Молодой человек в официальной одежде позирует перед камерой.
373768,453523,Два мальчика играют в игры Wii по телевизору.
462324,810037,мужчина скейтбордист в белой рубашке делает трюк
504747,333173,Женщина стоит на кухне и готовит еду.
37783,272840,Мальчик катается на скейтборде по рампе.
63965,318929,"Женщина держит тарелку с тортом, покрытым глазурью."
5032,206848,Женщина и ребенок стоят на лыжах в снегу.
85527,439728,Мужчина в смокинге держит пиво
330911,735339,Человек летит по воздуху во время катания на сноуборде.
443053,38064,молодой человек катается на доске для серфинга на волне
418625,183151,Две зебры лежат на земле рядом друг с другом.
462031,773286,Мужчина держит биту на поле под фонарем.
174633,383675,Взрослый на лыжах держит за руку ребенка на лыжах.
42752,634861,мужчина сидит лицом к большому окну
88360,318860,Две женщины играют друг против друга во фрисби.
481895,610516,Два серфера катаются на волнах недалеко от пляжа.
248786,782719,Группа людей в ресторане хорошо проводит время и наслаждается пиццей
217654,442950,Мужчина летит высоко в воздухе во время виндсерфинга.
234518,323876,Девушка ловит брошенную ей красную фрисби.
478906,378191,"Три человека улыбаются и позируют, стоя вместе."
212663,226656,Автобус припарковался рядом с другим автобусом на автобусной остановке.
233090,274573,Лодка плывет в гавани очень большого города.
422274,495495,Человек катается на доске для серфинга по воде.
168353,782333,пара человек разрезают торт
484681,3007,Маленький мальчик улыбается в камеру и тянет рюкзак.
403675,755328,Парень с бейсбольной битой готов играть
143120,478839,Мужчина держит печенье или пончик рядом со ртом.
310445,391429,Люди сидят за столом и едят
342204,490795,Пара женщин едят вместе.
54344,522343,Люди готовятся к посадке в легкий самолет на взлетно-посадочной полосе.
355513,32158,"Мужчина стоит на сноуборде у леса,"
186218,274363,Двое мужчин снаружи с пальто и зонтиками.
58651,167229,Зеленый поезд проходит через депо.
225405,73722,Два мальчика играют с футбольным мячом.
490620,477788,Маленькая девочка сидит у свежеприготовленной пиццы.
296524,676086,Мужчина поправляет галстук с расплывчатой ​​рукой.
115765,268772,Группа молодых женщин стоит под деревьями в парке.
116341,226755,Группа детей сидит за столом и ест кусочки торта.
463690,66080,Мужчина лежит на тротуаре с одной ногой в воздухе.
307531,493704,собака бежит к фрисби в воздухе
320944,685970,Толпа людей идет по улице.
419444,436626,Молодой человек катается на скейтборде в наушниках.
379144,47252,Синий самосвал едет по шоссе.
188866,690907,Девушка сидит с пончиком в руке.
65655,815215,группа людей сидит за столом с тарелками с едой
258395,712380,Красная пожарная машина едет по улице.
190637,88188,маленький ребенок лежит в постели и играет в nintendo wii
537069,475392,Мальчик бьет битой по мячу.
391222,433850,Две лыжницы стоят на снегу в фиолетовых костюмах.
324340,416782,Женщина держит в одной руке три яблока.
477500,807115,Два человека сидят на мопедах на улице.
556248,472605,Птицы гуляют по большой скале у океана
559047,610152,Кошка сидит на деревянном сиденье.
37907,472464,кошка лежит на разной электронике
87377,246997,красивая кошка прячется внутри коричневого чемодана
380117,78607,Кот лежит свернувшись калачиком на столе в окружении зелени.
87595,518807,Белый кот сидит на кровати рядом с тумбочкой.
503668,414369,Лохматая собака лежит на зеленом и синем одеяле.
515668,147653,Собака гоняется за белой фрисби в грязном травяном парке.
206831,714576,Большая коричневая собака держит во рту неоновую фрисби.
137321,508026,Над кроватью свесился мужчина с низко опущенной головой.
349776,225276,Собака стоит рядом с кошкой в ​​грязном поле.
368088,494887,Стадо лошадей стоит на берегу у воды
74460,737980,пара лошадей пасется на зеленой траве
345209,74335,Детеныш лошади пьет молоко своей матери.
460682,701597,лошадь лежит в поле
369849,302077,Три лошади пасутся на траве возле уличного знака.
242342,102662,Две лошади вместе бегут по травянистому полю
23937,701648,маленькая овца лежит в поле
572408,305022,Корова стоит в поле с коровой поменьше.
191533,101378,Две овцы пасутся в зеленом поле с деревьями на заднем плане.
