img_id,caption_id,sent,nsubj_word,nsubj_start,nsubj_stop,nsubj_pos,nsubj_Animacy,nsubj_Case,nsubj_Gender,nsubj_Number,root_word,root_start,root_stop,root_pos,root_Aspect,root_Gender,root_Mood,root_Number,root_Tense,root_VerbForm,root_Voice,root_Person,nsubj_ADJ_start,nsubj_ADJ_stop,obj_word,obj_start,obj_stop,obj_pos,obj_Animacy,obj_Case,obj_Gender,obj_Number,root_Animacy,root_Case,obj_Person,root_Variant,root_Degree,nsubj_Person,nsubj_Degree,nsubj_Aspect,nsubj_Tense,nsubj_VerbForm,nsubj_Voice,nsubj_Variant,root_Foreign,obj_Degree,obj_Aspect,obj_Tense,obj_VerbForm,obj_Voice,root_Tense_error_sent,root_Tense_error_val,root_Tense_error_sent1,root_Tense_error_val1
210990,446498,"Лыжник взбирается на снежную гору, наполовину в тени.",Лыжник,0.0,6.0,NOUN,Anim,Nom,Masc,Sing,взбирается,7.0,17.0,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554241,769477,Группа людей стоит на кирпичной дорожке.,Группа,0.0,6.0,NOUN,Inan,Nom,Fem,Sing,стоит,13.0,18.0,VERB,Imp,,Ind,Sing,Pres,Fin,Act,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160278,318133,Белый фургон едет по улице за грузовиком.,фургон,6.0,12.0,NOUN,Inan,Nom,Masc,Sing,едет,13.0,17.0,VERB,Imp,,Ind,Sing,Pres,Fin,Act,3.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521071,533066,"Маленькая девочка держит воздушного змея перед полем людей, запускающих воздушных змеев.",девочка,10.0,17.0,NOUN,Anim,Nom,Fem,Sing,держит,18.0,24.0,VERB,Imp,,Ind,Sing,Pres,Fin,Act,3.0,0.0,9.0,змеев,82.0,87.0,NOUN,Inan,Gen,Masc,Plur,,,,,,,,,,,,,,,,,,,,,,
410724,517853,статуя кота стоит рядом с ножницами,статуя,0.0,6.0,NOUN,Inan,Nom,Fem,Sing,стоит,12.0,17.0,VERB,Imp,,Ind,Sing,Pres,Fin,Act,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92675,345852,Мужчина в белом костюме верхом на белой лошади в торжественной процессии.,,,,,,,,,Мужчина,0.0,7.0,NOUN,,Masc,,Sing,,,,,,,,,,,,,,,Anim,Nom,,,,,,,,,,,,,,,,,,,,
485509,385259,Люди катаются на беговых лыжах по полю.,Люди,0.0,4.0,NOUN,Anim,Nom,Masc,Plur,катаются,5.0,13.0,VERB,Imp,,Ind,Plur,Pres,Fin,Mid,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317330,405405,Мужчина смотрит поверх очков в галстуке и подтяжках.,Мужчина,0.0,7.0,NOUN,Anim,Nom,Masc,Sing,смотрит,8.0,15.0,VERB,Imp,,Ind,Sing,Pres,Fin,Act,3.0,,,очков,23.0,28.0,NOUN,Inan,Gen,Neut,Plur,,,,,,,,,,,,,,,,,,,Мужчина смотрел поверх очков в галстуке и подтяжках.,Past,Мужчина будет смотреть поверх очков в галстуке и подтяжках.,Fut
41011,333837,Мужчина в английском костюме и котелке верхом на лошади.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306495,141018,Женщина стоит на брусчатке с зонтиком.,Женщина,0.0,7.0,NOUN,Anim,Nom,Fem,Sing,стоит,8.0,13.0,VERB,Imp,,Ind,Sing,Pres,Fin,Act,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516239,255854,"Грузовик едет по дороге с мужчинами, сидящими на крыше.",Грузовик,0.0,8.0,NOUN,Inan,Nom,Masc,Sing,едет,9.0,13.0,VERB,Imp,,Ind,Sing,Pres,Fin,Act,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377809,507793,Два человека в шлемах едут на мотоцикле мимо пешехода.,человека,4.0,12.0,NOUN,Anim,Gen,Masc,Sing,едут,22.0,26.0,VERB,Imp,,Ind,Plur,Pres,Fin,Act,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28671,578713,Девушка делает странное лицо и держит зажигалку.,Девушка,0.0,7.0,NOUN,Anim,Nom,Fem,Sing,делает,8.0,14.0,VERB,Imp,,Ind,Sing,Pres,Fin,Act,3.0,,,зажигалку,38.0,47.0,NOUN,Inan,Acc,Fem,Sing,,,,,,,,,,,,,,,,,,,,,,
74037,791860,Женщина и мужчина наряжены как демоны для костюмированной вечеринки.,Женщина,0.0,7.0,NOUN,Anim,Nom,Fem,Sing,наряжены,18.0,26.0,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111347,525958,"Малыш улыбается перед игрушечным поездом, стоящим на столе.",Малыш,0.0,5.0,NOUN,Anim,Nom,Masc,Sing,улыбается,6.0,15.0,VERB,Imp,,Ind,Sing,Pres,Fin,Mid,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Малыш улыбался перед игрушечным поездом, стоящим на столе.",Past,"Малыш будет улыбаться перед игрушечным поездом, стоящим на столе.",Fut
102439,663341,кто-то держит пульт в руке,кто-то,0.0,6.0,PRON,,Nom,,,держит,7.0,13.0,VERB,Imp,,Ind,Sing,Pres,Fin,Act,3.0,,,пульт,14.0,19.0,NOUN,Inan,Acc,Masc,Sing,,,,,,,,,,,,,,,,,,,,,,
