img_id,caption_id,root_Mood_error_sent
317330,405405,Мужчина смотри поверх очков в галстуке и подтяжках.
111347,525958,"Малыш улыбайся перед игрушечным поездом, стоящим на столе."
384242,455129,Человек в океане устанавливай доску для виндсерфинга.
83013,33877,Слон гуляй по своему загону у всех на виду.
272599,593483,Мужчина держись за доску для серфинга и плыви.
455666,263911,Молодой человек в официальной одежде позируй перед камерой.
373768,453523,Два мальчика играйте в игры Wii по телевизору.
462324,810037,мужчина скейтбордист в белой рубашке делай трюк
504747,333173,Женщина стой на кухне и готовь еду.
92894,423148,Бейсболист становись в стойку для отбивания мяча.
37783,272840,Мальчик катайся на скейтборде по рампе.
63965,318929,"Женщина держи тарелку с тортом, покрытым глазурью."
5032,206848,Женщина и ребенок стойте на лыжах в снегу.
85527,439728,Мужчина в смокинге держи пиво
330911,735339,Человек лети по воздуху во время катания на сноуборде.
443053,38064,молодой человек катайся на доске для серфинга на волне
418625,183151,Две зебры лежите на земле рядом друг с другом.
462031,773286,Мужчина держи биту на поле под фонарем.
174633,383675,Взрослый на лыжах держи за руку ребенка на лыжах.
42752,634861,мужчина сиди лицом к большому окну
88360,318860,Две женщины играйте друг против друга во фрисби.
481895,610516,Два серфера катайтесь на волнах недалеко от пляжа.
248786,782719,Группа людей в ресторане хорошо проводи время и наслаждайся пиццей
217654,442950,Мужчина лети высоко в воздухе во время виндсерфинга.
234518,323876,Девушка лови брошенную ей красную фрисби.
478906,378191,"Три человека улыбайтесь и позируйте, стоя вместе."
114481,573118,Бейсболист стой рядом с базой.
212663,226656,Автобус припаркуйся рядом с другим автобусом на автобусной остановке.
233090,274573,Лодка плыви в гавани очень большого города.
422274,495495,Человек катайся на доске для серфинга по воде.
168353,782333,пара человек разрезайте торт
451879,475764,"Бейсболисты во время игры, один человек, одетый в зеленое, беги, а другие в белом смотрите и тянитесь к мячу."
477144,547615,Бейсболист стой рядом с домашней базой и держи биту.
484681,3007,Маленький мальчик улыбайся в камеру и тяни рюкзак.
143120,478839,Мужчина держи печенье или пончик рядом со ртом.
310445,391429,Люди сидите за столом и едят
342204,490795,Пара женщин ешьте вместе.
54344,522343,Люди готовьтесь к посадке в легкий самолет на взлетно-посадочной полосе.
355513,32158,"Мужчина стой на сноуборде у леса,"
58651,167229,Зеленый поезд проходи через депо.
225405,73722,Два мальчика играйте с футбольным мячом.
