img_id,caption_id,reverse_word_order
317330,405405,. подтяжках и галстуке в очков поверх смотрит Мужчина
111347,525958,". столе на стоящим , поездом игрушечным перед улыбается Малыш"
384242,455129,. виндсерфинга для доску устанавливает океане в Человек
83013,33877,. виду на всех у загону своему по гуляет Слон
272599,593483,. плывет и серфинга для доску за держится Мужчина
455666,263911,. камерой перед позирует одежде официальной в человек Молодой
373768,453523,. телевизору по Wii игры в играют мальчика Два
462324,810037,трюк делает рубашке белой в скейтбордист мужчина
504747,333173,. еду готовит и кухне на стоит Женщина
116434,270631,". волнам по плывущего , человека Силуэт"
92894,423148,. мяча отбивания для стойку в становится Бейсболист
37783,272840,. рампе по скейтборде на катается Мальчик
63965,318929,". глазурью покрытым , тортом с тарелку держит Женщина"
5032,206848,. снегу в лыжах на стоят ребенок и Женщина
85527,439728,пиво держит смокинге в Мужчина
330911,735339,. сноуборде на катания время во воздуху по летит Человек
370208,731512,. счетчиком парковочным перед припаркован Велосипед
443053,38064,волне на серфинга для доске на катается человек молодой
331604,219543,. доске красной на воздухе в Кайтсерфер
418625,183151,. другом с друг рядом земле на лежат зебры Две
462031,773286,. фонарем под поле на биту держит Мужчина
174633,383675,. лыжах на ребенка руку за держит лыжах на Взрослый
42752,634861,окну большому к лицом сидит мужчина
105960,77257,. пляжа фоне на океане в Виндсерфер
88360,318860,. фрисби во друга против друг играют женщины Две
481895,610516,. пляжа от недалеко волнах на катаются серфера Два
248786,782719,пиццей наслаждается и время проводит хорошо ресторане в людей Группа
217654,442950,. виндсерфинга время во воздухе в высоко летит Мужчина
234518,323876,. фрисби красную ей брошенную ловит Девушка
478906,378191,". вместе стоя , позируют и улыбаются человека Три"
114481,573118,. базой с рядом стоит Бейсболист
212663,226656,. остановке автобусной на автобусом другим с рядом припарковался Автобус
233090,274573,. города большого очень гавани в плывет Лодка
422274,495495,. воде по серфинга для доске на катается Человек
168353,782333,торт разрезают человек пара
404847,677052,. дороге на зонтами с людей Группа
451879,475764,". мячу к тянутся и смотрят белом в другие а , бежит , зеленое в одетый , человек один , игры время во Бейсболисты"
477144,547615,. биту держит и базой домашней с рядом стоит Бейсболист
484681,3007,. рюкзак тянет и камеру в улыбается мальчик Маленький
403675,755328,играть готов битой бейсбольной с Парень
143120,478839,. ртом со рядом пончик или печенье держит Мужчина
310445,391429,едят и столом за сидят Люди
342204,490795,. вместе едят женщин Пара
54344,522343,. полосе взлетно-посадочной на самолет легкий в посадке к готовятся Люди
262394,100797,. зданием со рядом улицы вдоль припаркован Мотоцикл
355513,32158,", леса у сноуборде на стоит Мужчина"
186218,274363,. зонтиками и пальто с снаружи мужчин Двое
58651,167229,. депо через проходит поезд Зеленый
225405,73722,. мячом футбольным с играют мальчика Два
490620,477788,. пиццы свежеприготовленной у сидит девочка Маленькая
296524,676086,. ​​рукой расплывчатой с галстук поправляет Мужчина
115765,268772,. парке в деревьями под стоит женщин молодых Группа
116341,226755,. торта кусочки ест и столом за сидит детей Группа
463690,66080,. воздухе в ногой одной с тротуаре на лежит Мужчина
355394,73034,. океане зеленом в волне на катается Серфер
224114,567059,. шезлонгами и зонтиками с отель Курортный
307531,493704,воздухе в фрисби к бежит собака
473250,459747,"зонт красный держащей , женщины картина"
20070,60957,ванной маленькой в феном с Мужчина
320944,685970,. улице по идет людей Толпа
419444,436626,. наушниках в скейтборде на катается человек Молодой
379144,47252,. шоссе по едет самосвал Синий
188866,690907,. руке в пончиком с сидит Девушка
65655,815215,едой с тарелками с столом за сидит людей группа
258395,712380,. улице по едет машина пожарная Красная
200058,563993,. снегу в сноуборде на Человек
190637,88188,wii nintendo в играет и постели в лежит ребенок маленький
346642,574297,". лодками наполненная , водой чистой кристально с Лагуна"
134322,96999,". Япония , вероятно , комплексом строительным и акваторией между змея воздушного Полет"
539874,712000,. галстуке красно-черном в Мужчина
537069,475392,. мячу по битой бьет Мальчик
391222,433850,. костюмах фиолетовых в снегу на стоят лыжницы Две
324340,416782,. яблока три руке одной в держит Женщина
477500,807115,. улице на мопедах на сидят человека Два
434488,693005,. ней с рядом небоскреб и часами с Башня
556248,472605,океана у скале большой по гуляют Птицы
559047,610152,. сиденье деревянном на сидит Кошка
37907,472464,электронике разной на лежит кошка
87377,246997,чемодана коричневого внутри прячется кошка красивая
380117,78607,. зелени окружении в столе на калачиком свернувшись лежит Кот
87595,518807,. тумбочкой с рядом кровати на сидит кот Белый
503668,414369,. одеяле синем и зеленом на лежит собака Лохматая
181763,180638,. шляпе белой в собака Черно-белая
135748,258893,". одеялом покрытая , постели собачьей в собака Крошечная"
515668,147653,. парке травяном грязном в фрисби белой за гоняется Собака
206831,714576,. фрисби неоновую рту во держит собака коричневая Большая
137321,508026,. головой опущенной низко с мужчина свесился кроватью Над
349776,225276,. поле ​​грязном в кошкой с рядом стоит Собака
29170,146278,. зонтиками с пляже песчаном пустынном на Лошадь
578902,699150,. плане переднем на лошадью пегой с поле в лошадей Группа
368088,494887,воды у берегу на стоит лошадей Стадо
384513,562717,дороги обочине на телеге к привязана лошадь маленькая
129637,790835,. столу по прогулкой с рядом лошадей Фигурки
74460,737980,траве зеленой на пасется лошадей пара
345209,74335,. матери своей молоко пьет лошади Детеныш
460682,701597,поле в лежит лошадь
274091,82454,". часами с башней и флагами британскими , домами кирпичными с Улица"
369849,302077,. знака уличного возле траве на пасутся лошади Три
242342,102662,полю травянистому по бегут вместе лошади Две
23937,701648,поле в лежит овца маленькая
572408,305022,. поменьше коровой с поле в стоит Корова
361123,114119,. нее вокруг овцами другими с снегу в Овца
437931,640543,. поле травой покрытом на стоит овец Стадо
517795,198562,забором за конструкцией деревянной с рядом овцы две
191533,101378,. плане заднем на деревьями с поле зеленом в пасутся овцы Две
374100,544197,. камеру в смотрят поле в коровы Две
237566,111229,поле травянистом на пасутся коровы черные Две
310618,326535,. трубы протекающей из воды набрать пытается Корова
316112,158226,. овец полю по разбросанных группа большая
92145,480808,. забора возле едят коров коричневых красивых очень Несколько
213961,597283,. пляже на дюнам песчаным по гуляют коровы Две
545958,671544,. входом синим с здания белого возле стоит Корова
129416,792878,. водоема возле поле в пасется коров Группа
361268,346464,. тротуара обочине на траве на пасется Корова
339512,412522,". траве сладкой более на пастись чтобы , забора у очередь в выстраиваются коровы Молочные"
167193,414371,. пастбище на бодаются коровы Две
116095,639064,". пара еще ними за а , коровы белых и коричневых четыре идут ряд В"
87444,154871,. здания внутри загоне в сидит Корова
539784,644822,. овец стадо большое пасется дороги оживленной У
66800,488445,. траве в стоит Слон
108326,741718,". оленями с рядом стоят свиньи и зебры которой на , картина Большая"
108864,339290,поле в противостоянии в бивни скрещивают слона Два
94538,219262,. улице на стоят вместе зебра и слона Три
69928,590059,. здания стене на висит слона Статуя
359135,414469,. бивнями сцепляются и другом с друг играют слона Два
519461,579416,загоне в стоит слонов пара
11364,523448,. полю зеленому по идет медведь Черный
254479,108108,дерева ветвями между стоит медвежонок маленький
