img_id,caption_id,sent
317330,405405,Мужчина смотрит поверх очков в галстуке и подтяжках.
111347,525958,"Малыш улыбается перед игрушечным поездом, стоящим на столе."
384242,455129,Человек в океане устанавливает доску для виндсерфинга.
83013,33877,Слон гуляет по своему загону у всех на виду.
272599,593483,Мужчина держится за доску для серфинга и плывет.
455666,263911,Молодой человек в официальной одежде позирует перед камерой.
373768,453523,Два мальчика играют в игры Wii по телевизору.
462324,810037,мужчина скейтбордист в белой рубашке делает трюк
504747,333173,Женщина стоит на кухне и готовит еду.
116434,270631,"Силуэт человека, плывущего по волнам."
92894,423148,Бейсболист становится в стойку для отбивания мяча.
37783,272840,Мальчик катается на скейтборде по рампе.
63965,318929,"Женщина держит тарелку с тортом, покрытым глазурью."
5032,206848,Женщина и ребенок стоят на лыжах в снегу.
85527,439728,Мужчина в смокинге держит пиво
330911,735339,Человек летит по воздуху во время катания на сноуборде.
370208,731512,Велосипед припаркован перед парковочным счетчиком.
443053,38064,молодой человек катается на доске для серфинга на волне
331604,219543,Кайтсерфер в воздухе на красной доске.
418625,183151,Две зебры лежат на земле рядом друг с другом.
462031,773286,Мужчина держит биту на поле под фонарем.
174633,383675,Взрослый на лыжах держит за руку ребенка на лыжах.
42752,634861,мужчина сидит лицом к большому окну
105960,77257,Виндсерфер в океане на фоне пляжа.
88360,318860,Две женщины играют друг против друга во фрисби.
481895,610516,Два серфера катаются на волнах недалеко от пляжа.
248786,782719,Группа людей в ресторане хорошо проводит время и наслаждается пиццей
217654,442950,Мужчина летит высоко в воздухе во время виндсерфинга.
234518,323876,Девушка ловит брошенную ей красную фрисби.
478906,378191,"Три человека улыбаются и позируют, стоя вместе."
114481,573118,Бейсболист стоит рядом с базой.
212663,226656,Автобус припарковался рядом с другим автобусом на автобусной остановке.
233090,274573,Лодка плывет в гавани очень большого города.
422274,495495,Человек катается на доске для серфинга по воде.
168353,782333,пара человек разрезают торт
404847,677052,Группа людей с зонтами на дороге.
451879,475764,"Бейсболисты во время игры, один человек, одетый в зеленое, бежит, а другие в белом смотрят и тянутся к мячу."
477144,547615,Бейсболист стоит рядом с домашней базой и держит биту.
484681,3007,Маленький мальчик улыбается в камеру и тянет рюкзак.
403675,755328,Парень с бейсбольной битой готов играть 
143120,478839,Мужчина держит печенье или пончик рядом со ртом.
310445,391429,Люди сидят за столом и едят
342204,490795,Пара женщин едят вместе.
54344,522343,Люди готовятся к посадке в легкий самолет на взлетно-посадочной полосе.
262394,100797,Мотоцикл припаркован вдоль улицы рядом со зданием.
355513,32158,"Мужчина стоит на сноуборде у леса,"
186218,274363,Двое мужчин снаружи с пальто и зонтиками.
58651,167229,Зеленый поезд проходит через депо.
225405,73722,Два мальчика играют с футбольным мячом.
490620,477788,Маленькая девочка сидит у свежеприготовленной пиццы.
296524,676086,Мужчина поправляет галстук с расплывчатой ​​рукой.
115765,268772,Группа молодых женщин стоит под деревьями в парке.
116341,226755,Группа детей сидит за столом и ест кусочки торта.
463690,66080,Мужчина лежит на тротуаре с одной ногой в воздухе.
355394,73034,Серфер катается на волне в зеленом океане.
224114,567059,Курортный отель с зонтиками и шезлонгами.
307531,493704,собака бежит к фрисби в воздухе
473250,459747,"картина женщины, держащей красный зонт"
20070,60957,Мужчина с феном в маленькой ванной
320944,685970,Толпа людей идет по улице.
419444,436626,Молодой человек катается на скейтборде в наушниках.
379144,47252,Синий самосвал едет по шоссе.
188866,690907,Девушка сидит с пончиком в руке.
65655,815215,группа людей сидит за столом с тарелками с едой
258395,712380,Красная пожарная машина едет по улице.
200058,563993,Человек на сноуборде в снегу.
190637,88188,маленький ребенок лежит в постели и играет в nintendo wii
346642,574297,"Лагуна с кристально чистой водой, наполненная лодками."
134322,96999,"Полет воздушного змея между акваторией и строительным комплексом, вероятно, Япония."
539874,712000,Мужчина в красно-черном галстуке.
537069,475392,Мальчик бьет битой по мячу.
391222,433850,Две лыжницы стоят на снегу в фиолетовых костюмах.
324340,416782,Женщина держит в одной руке три яблока.
477500,807115,Два человека сидят на мопедах на улице.
434488,693005,Башня с часами и небоскреб рядом с ней.
