img_id,caption_id,nsubj_Number_error_sent
317330,405405,мужчины смотрит поверх очков в галстуке и подтяжках.
111347,525958,"малыши улыбается перед игрушечным поездом, стоящим на столе."
384242,455129,люди в океане устанавливает доску для виндсерфинга.
83013,33877,слоны гуляет по своему загону у всех на виду.
272599,593483,мужчины держится за доску для серфинга и плывет.
455666,263911,Молодые люди в официальной одежде позирует перед камерой.
373768,453523,Два мальчик играют в игры Wii по телевизору.
462324,810037,мужчины скейтбордист в белой рубашке делает трюк
504747,333173,женщины стоит на кухне и готовит еду.
37783,272840,мальчики катается на скейтборде по рампе.
63965,318929,"женщины держит тарелку с тортом, покрытым глазурью."
5032,206848,женщины и ребенок стоят на лыжах в снегу.
85527,439728,мужчины в смокинге держит пиво
330911,735339,люди летит по воздуху во время катания на сноуборде.
443053,38064,молодые люди катается на доске для серфинга на волне
418625,183151,Две зебра лежат на земле рядом друг с другом.
462031,773286,мужчины держит биту на поле под фонарем.
174633,383675,взрослые на лыжах держит за руку ребенка на лыжах.
42752,634861,мужчины сидит лицом к большому окну
88360,318860,Две женщина играют друг против друга во фрисби.
481895,610516,Два сёрфер катаются на волнах недалеко от пляжа.
248786,782719,группы людей в ресторане хорошо проводит время и наслаждается пиццей
217654,442950,мужчины летит высоко в воздухе во время виндсерфинга.
234518,323876,девушки ловит брошенную ей красную фрисби.
478906,378191,"Три человек улыбаются и позируют, стоя вместе."
212663,226656,автобусы припарковался рядом с другим автобусом на автобусной остановке.
233090,274573,лодки плывет в гавани очень большого города.
422274,495495,люди катается на доске для серфинга по воде.
168353,782333,пары человек разрезают торт
484681,3007,Маленькие мальчики улыбается в камеру и тянет рюкзак.
403675,755328,парни с бейсбольной битой готов играть
143120,478839,мужчины держит печенье или пончик рядом со ртом.
310445,391429,человек сидят за столом и едят
342204,490795,пары женщин едят вместе.
54344,522343,человек готовятся к посадке в легкий самолет на взлетно-посадочной полосе.
355513,32158,"мужчины стоит на сноуборде у леса,"
186218,274363,Двое мужчина снаружи с пальто и зонтиками.
58651,167229,Зеленые поезда проходит через депо.
225405,73722,Два мальчик играют с футбольным мячом.
490620,477788,Маленькие девочки сидит у свежеприготовленной пиццы.
296524,676086,мужчины поправляет галстук с расплывчатой ​​рукой.
115765,268772,группы молодых женщин стоит под деревьями в парке.
116341,226755,группы детей сидит за столом и ест кусочки торта.
463690,66080,мужчины лежит на тротуаре с одной ногой в воздухе.
307531,493704,собаки бежит к фрисби в воздухе
320944,685970,толпы людей идет по улице.
419444,436626,Молодые люди катается на скейтборде в наушниках.
379144,47252,Синие самосвалы едет по шоссе.
188866,690907,девушки сидит с пончиком в руке.
65655,815215,группы людей сидит за столом с тарелками с едой
258395,712380,Красные пожарные машины едет по улице.
190637,88188,маленькие дети лежит в постели и играет в nintendo wii
537069,475392,мальчики бьет битой по мячу.
391222,433850,Две лыжница стоят на снегу в фиолетовых костюмах.
324340,416782,женщины держит в одной руке три яблока.
477500,807115,Два людей сидят на мопедах на улице.
556248,472605,птица гуляют по большой скале у океана
559047,610152,кошки сидит на деревянном сиденье.
37907,472464,кошки лежит на разной электронике
87377,246997,красивая кошки прячется внутри коричневого чемодана
380117,78607,Коты лежит свернувшись калачиком на столе в окружении зелени.
87595,518807,Белые коты сидит на кровати рядом с тумбочкой.
503668,414369,Лохматые собаки лежит на зеленом и синем одеяле.
515668,147653,собаки гоняется за белой фрисби в грязном травяном парке.
206831,714576,Большие коричневые собаки держит во рту неоновую фрисби.
137321,508026,Над кроватью свесился мужчины с низко опущенной головой.
349776,225276,собаки стоит рядом с кошкой в ​​грязном поле.
368088,494887,стада лошадей стоит на берегу у воды
74460,737980,пары лошадей пасется на зеленой траве
345209,74335,детёныши лошади пьет молоко своей матери.
460682,701597,лошади лежит в поле
369849,302077,Три лошадь пасутся на траве возле уличного знака.
242342,102662,Две лошадь вместе бегут по травянистому полю
23937,701648,маленькая овцы лежит в поле
572408,305022,коровы стоит в поле с коровой поменьше.
191533,101378,Две овца пасутся в зеленом поле с деревьями на заднем плане.
374100,544197,Две корова в поле смотрят в камеру.
237566,111229,Две черная корова пасутся на травянистом поле
310618,326535,коровы пытается набрать воды из протекающей трубы.
213961,597283,Две корова гуляют по песчаным дюнам на пляже.
545958,671544,коровы стоит возле белого здания с синим входом.
129416,792878,группы коров пасется в поле возле водоема.
361268,346464,коровы пасется на траве на обочине тротуара.
339512,412522,"Молочная корова выстраиваются в очередь у забора, чтобы пастись на более сладкой траве."
167193,414371,Две корова бодаются на пастбище.
116095,639064,"В ряд идут четыре коричневых и белых коровы, а за ними еще пары."
87444,154871,коровы сидит в загоне внутри здания.
539784,644822,У оживленной дороги пасется большое стада овец.
66800,488445,слоны стоит в траве.
108864,339290,Два слон скрещивают бивни в противостоянии в поле
94538,219262,Три слон и зебра вместе стоят на улице.
69928,590059,статуи слона висит на стене здания.
359135,414469,Два слон играют друг с другом и сцепляются бивнями.
519461,579416,пары слонов стоит в загоне
11364,523448,Черный медведи идет по зеленому полю.
254479,108108,маленький медвежата стоит между ветвями дерева
328499,781146,Бурый медвежата и енот едят ягоды в лесу.
407019,652318,Белый медведи ходит около воды
98197,660644,Молодые черные медведи идет по травянистому полю.
539678,559876,медведи сидит один на траве.
204381,763452,Белый полярный медведи стоит возле ветки дерева.
256091,489688,группы зебр стоит в пустыне.
38825,798293,Две зебра пасутся вместе в травянистой местности.
187434,549861,пары зебр стоят на зеленом поле.
371243,724395,пары зебр идут по полю
63381,319594,одинокие зебры стоит у камней и ест траву
42534,483345,«Портретные снимки» зебры на резком фоне.
374486,544678,Два жираф стоят вместе в поле.
352576,406866,жирафы стоит в лесу.
432529,461052,два жираф стоят очень близко друг к другу
393282,532995,Два жираф стоят посреди поля.
580693,562006,жираф сидят на сухом травяном поле днем
116289,317074,Два жираф стоят рядом друг с другом около дерева.
165336,218690,Два жираф стоят рядом друг с другом на поле.
155546,637366,В гостиной возле обеденного стола стоит кожаный диваны.
284375,226746,Открытый ноутбуки стоит на деревянном столе.
314935,416073,Два ноутбук стоят на коричневом столе.
441225,413970,Ванная комнаты с ванной и двумя раковинами.
509260,706593,Старые телевизоры показывает старую компьютерную игру перед двумя книжными стеллажами.
400922,108960,вывески висит на стене над часами.
521181,84714,"В спальне большие кровати, покрытая одеялом."
283064,716335,"Стол с огромной стеклянной вазой, в которой стоят искусственные цветок."
500825,465840,цветок стоят в высокой прозрачной вазе с водой.
88445,648789,украшенные вазы стоит на столешнице
508115,482318,"Плюшевые мишки сидит у цветка, кофейного мешка и религиозной статуи."
237844,476305,ноутбуки стоит на столе с другими аксессуарами.
481890,524555,Большие белые мишки лежит на кровати с подушками.
328745,130171,Два коричневых мишки сидят на кровати в черно-белую клетку.
73453,829306,маленький плюшевый мишки стоит на столе рядом с шоколадным десертом
523315,662720,Коричневый плюшевый мишки сидит возле подушки
343534,762309,куклы держится за руки с двумя плюшевыми мишками
43073,441233,мальчики в синей рубашке стоит рядом с женщиной.
293133,280841,Маленькие девочки помогает высушить волосы другому ребенку.
338094,502277,женщины в гостиной сушит волосы вниз головой.
27570,774300,женщины сушит волосы феном перед зеркалом.
478874,528121,Молодые девушки держит фен и расчесывает волосы.
24402,521948,женщины сушит феном комок газет.
212058,489586,женщины дует на ребенка феном перед столом.
177262,607500,коты сидит на стойке в ванной за феном.
208,76457,Игрушечный динозавры стоит на раковине рядом с открытым краном
114303,661558,"Ванные комнаты с ванной, полками и раковиной."
518287,346953,Зубные щётки стоит в секции зубной пасты в держателе зубной щетки.
466583,587907,Ванные комнаты со стоячим душем рядом с раковиной и зеркалом.
102668,102718,Большой белый автобусы проезжает перекресток.
49994,232613,светофоры стоит рядом со стеной здания.
225093,479825,На рельсах стоит поезда с зеленой и оранжевой полосами.
369482,760970,светофоры висит над городской улицей
340654,79780,светофоры и уличные знаки находятся у красного пожарного гидранта.
187495,542197,Пожарные гидранты стоит на углу тротуара.
331223,398370,Красные пожарные гидранты находится рядом с предупредительной перегородкой.
178810,581425,"Желто-красные пожарные гидранты, стоящий рядом с деревом."
117792,224950,Красные пожарные гидранты перед окном с большими окнами.
21671,347518,На тротуаре стоит сломанные розовые пожарные гидранты.
167422,180165,Красные пожарные гидранты стоит у реки с водой.
52005,631253,Желтые пожарные гидранты находится рядом с кустами.
440559,497641,"Желтые пожарные гидрант стоит рядом с люком, из которого выходит пар."
186322,292307,Посеребренные ржавые пожарные гидранты стоит посреди прохода.
451014,552527,Синие и желтые пожарный гидранты стоит на обочине дороги.
6091,784493,Ночью хорошо виден знаки «Стоп».
535242,732235,красные знаки «Стоп» находится на дороге снаружи
88462,58590,Большие желтые школьные автобусы останавливается на дороге.
386525,503414,Припаркованные грузовики на стоянке рядом с деревом.
97892,97956,Белые демоны парит рядом с красным знаком «Стоп» под знаком улицы с односторонним движением.
391321,644080,уличные фонари находится рядом со знаком «Стоп»
258674,476865,паркоматы лежит криво на улице.
37709,147427,На одном столбе висит знаки «Стоп» и две таблички с названием улицы.
67757,311794,"Вечером рекламные щиты магазина стоит на тротуаре рядом с синей машиной, припаркованной у обочины."
38186,563755,грузовики стоит рядом с бордюром с счетчиком.
288824,128023,пожарные машины едет по городской улице
518030,464430,скамейки стоит на корнете с видом на воду
57917,507535,деревья растет на склоне возле скамейки.
147293,702131,"скамейка в парке, вокруг которой растут дерево"
18485,115539,Деревянные скамейки стоит в зеленом парке.
154168,525100,автобусы проезжает по улице мимо высоких домов.
555298,543452,собаки спит между сумкой для книг и шредером под компьютерным столом.
111062,262639,телевизоры вмонтирован в стену между двумя полками.
406211,344731,кошки сидит на стуле в гостиной.
78107,673218,кошки сидит перед телевизором и пристально смотрит на него.
541664,322728,ноутбуки стоит на столе из лего.
482970,57954,ноутбуки стоит на столе с динамиком.
93948,688923,кошки стоит рядом с тарелкой на компьютере.
119828,508898,коты сидит на деревянном столе.
356790,354225,"коллажи из четырех изображений показывает клавиатуры, мониторы и компьютерные мыши."
20481,733184,ноутбуки стоит на столе.
37367,503293,ноутбуки стоит на столе.
278313,729553,Хоккейные майки лежит на спинке дивана перед телевизором.
427666,665051,Один банан лежат рядом с ноутбуком и мобильными телефонами.
219632,760037,Черные кудрявые собаки играет с фрисби.
528488,145610,собаки играет во фрисби на снегу
223032,691970,собаки держит в пасти белую фрисби.
212817,394031,дети на сноуборде спускается по склону.
96625,459091,мужчины выполняет трюк на лыжах.
207178,792688,Один человек стоят на снегу с лыжами.
392665,713137,Одна молодая девушка сидят в снаряжении для сноуборда
283186,85074,"лыжники в шлеме и очках наклоняется, чтобы обойти препятствие."
263223,705288,мужчины катается на лыжах по заснеженному склону.
761,731103,группы лыжников готовится к спуску с горы.
85813,319423,пары вместе катается на лыжах с горы.
239235,713366,группы людей едет вниз по заснеженной лыжной трассе.
112941,508064,группы людей катается на лыжах по склону заснеженной горы.
247692,568085,группы мужчин катается на лыжах по склону горнолыжного склона.
526040,743037,люди на сноуборде упал в снег.
102903,129853,люди в серой парке сидит на снегу
451104,338076,люди стоит на тропинке в снегу.
549683,516110,мужчины пытается кататься на сноуборде в темноте.
285462,439960,"женщины держит в одной руке доску для сноуборда, а другую руку в воздухе."
203382,781909,медведи стоит в пруду
1682,694422,лодки плывет по водоему.
2139,570325,"велосипеды, прислоненный к неубранной и грязной кровати."
359569,587089,Черно-коричневые собаки идет по снегу с красной фрисби во рту.
66568,538013,"Один плюшевый мишка лежат, прислонившись к стене."
502090,491727,Воздушные змеи летит по голубому небу с длинным хвостом.
7784,607568,большие воздушные змеи летит высоко в небе.
228025,588888,Воздушные змеи летит над песчаным коричневым пляжем.
44478,87628,Воздушные змеи в форме самолета летит по воздуху.
384476,426936,Воздушные змеи летит в голубом небе.
183416,49508,Воздушные змеи в форме павлина летит над головой в голубом небе.
162357,432952,Воздушные змеи зацепился за голую ветку дерева.
351621,291302,Один воздушный змей летят высоко в ясном голубом небе.
447501,798310,Зелёные воздушные змеи-монстры парит в солнечном небе.
187890,777224,Воздушные змеи-драконы пролетает перед монументом Вашингтона
308974,541563,Воздушные змеи летит по кристально чистому голубому небу.
499588,10170,"Разноцветный воздушный змей, прикрепленные к светло-голубой стене."
85911,639356,Воздушные змеи плывет посреди большого водоема.
509270,770558,На ветру летают один воздушный змей.
204067,637098,игроки на домашней базе готовится бить во время игры.
8119,165508,команды молодых людей играет в бейсбол.
397729,35903,Маленькие дети размахивает бейсбольной битой во время игры в бейсбол.
291209,108577,мужчины идет по бейсбольному полю в кетчерской перчатке.
456725,395421,мужчины играет в бейсбол
464087,396465,"Бейсбольные отбивающие совершает мощный удар, а кэтчер и судья смотрят на него."
359387,423951,"дети пытается проделать трюк на скейтборде, сидя."
424271,108762,группы маленьких детей катается на скейтбордах в здании.
360595,345982,мужчины со скейтбордом разговаривает с мужчиной в шляпе.
63922,587726,Маленькие мальчики на скейтборде в шлеме.
168260,672553,Желтые грузовики спасателя стоит на пляже
353909,219206,Синие доски для серфинга торчит из покрытой зеленой травой земли.
453310,763499,Красные грузовики с фонарями на крыше и оборудованием сзади.
572907,495970,мужчины стоит на теннисном корте с ракеткой.
