img_id,caption_id,sent
317330,405405,Мужчина смотрят поверх очков в галстуке и подтяжках.
111347,525958,"Малыш улыбаются перед игрушечным поездом, стоящим на столе."
384242,455129,Человек в океане устанавливают доску для виндсерфинга.
83013,33877,Слон гуляют по своему загону у всех на виду.
272599,593483,Мужчина держатся за доску для серфинга и плывет.
455666,263911,Молодой человек в официальной одежде позируют перед камерой.
373768,453523,Два мальчика играет в игры Wii по телевизору.
462324,810037,мужчина скейтбордист в белой рубашке делают трюк
504747,333173,Женщина стоят на кухне и готовит еду.
92894,423148,Бейсболист становятся в стойку для отбивания мяча.
37783,272840,Мальчик катаются на скейтборде по рампе.
63965,318929,"Женщина держат тарелку с тортом, покрытым глазурью."
5032,206848,Женщина и ребенок стоит на лыжах в снегу.
85527,439728,Мужчина в смокинге держат пиво
330911,735339,Человек летят по воздуху во время катания на сноуборде.
370208,731512,Велосипед припаркованы перед парковочным счетчиком.
443053,38064,молодой человек катаются на доске для серфинга на волне
418625,183151,Две зебры лежит на земле рядом друг с другом.
462031,773286,Мужчина держат биту на поле под фонарем.
174633,383675,Взрослый на лыжах держат за руку ребенка на лыжах.
42752,634861,мужчина сидят лицом к большому окну
88360,318860,Две женщины играет друг против друга во фрисби.
481895,610516,Два серфера катается на волнах недалеко от пляжа.
248786,782719,Группа людей в ресторане хорошо проводят время и наслаждается пиццей
217654,442950,Мужчина летят высоко в воздухе во время виндсерфинга.
234518,323876,Девушка ловят брошенную ей красную фрисби.
114481,573118,Бейсболист стоят рядом с базой.
212663,226656,Автобус припарковались рядом с другим автобусом на автобусной остановке.
233090,274573,Лодка плывут в гавани очень большого города.
422274,495495,Человек катаются на доске для серфинга по воде.
451879,475764,"Бейсболисты во время игры, один человек, одетый в зеленое, бегут, а другие в белом смотрит и тянется к мячу."
477144,547615,Бейсболист стоят рядом с домашней базой и держат биту.
484681,3007,Маленький мальчик улыбаются в камеру и тянут рюкзак.
143120,478839,Мужчина держат печенье или пончик рядом со ртом.
310445,391429,Люди сидит за столом и ест
54344,522343,Люди готовится к посадке в легкий самолет на взлетно-посадочной полосе.
262394,100797,Мотоцикл припаркованы вдоль улицы рядом со зданием.
355513,32158,"Мужчина стоят на сноуборде у леса,"
58651,167229,Зеленый поезд проходят через депо.
490620,477788,Маленькая девочка сидят у свежеприготовленной пиццы.
296524,676086,Мужчина поправляют галстук с расплывчатой ​​рукой.
115765,268772,Группа молодых женщин стоят под деревьями в парке.
116341,226755,Группа детей сидят за столом и едят кусочки торта.
463690,66080,Мужчина лежат на тротуаре с одной ногой в воздухе.
355394,73034,Серфер катаются на волне в зеленом океане.
307531,493704,собака бегут к фрисби в воздухе
320944,685970,Толпа людей идут по улице.
419444,436626,Молодой человек катаются на скейтборде в наушниках.
379144,47252,Синий самосвал едут по шоссе.
188866,690907,Девушка сидят с пончиком в руке.
65655,815215,группа людей сидят за столом с тарелками с едой
258395,712380,Красная пожарная машина едут по улице.
190637,88188,маленький ребенок лежат в постели и играют в nintendo wii
537069,475392,Мальчик бьют битой по мячу.
391222,433850,Две лыжницы стоит на снегу в фиолетовых костюмах.
324340,416782,Женщина держат в одной руке три яблока.
556248,472605,Птицы гуляет по большой скале у океана
559047,610152,Кошка сидят на деревянном сиденье.
37907,472464,кошка лежат на разной электронике
87377,246997,красивая кошка прячутся внутри коричневого чемодана
380117,78607,Кот лежат свернувшись калачиком на столе в окружении зелени.
87595,518807,Белый кот сидят на кровати рядом с тумбочкой.
503668,414369,Лохматая собака лежат на зеленом и синем одеяле.
515668,147653,Собака гоняются за белой фрисби в грязном травяном парке.
206831,714576,Большая коричневая собака держат во рту неоновую фрисби.
349776,225276,Собака стоят рядом с кошкой в ​​грязном поле.
384513,562717,маленькая лошадь привязаны к телеге на обочине дороги
74460,737980,пара лошадей пасутся на зеленой траве
345209,74335,Детеныш лошади пьют молоко своей матери.
460682,701597,лошадь лежат в поле
369849,302077,Три лошади пасётся на траве возле уличного знака.
242342,102662,Две лошади вместе бежит по травянистому полю
23937,701648,маленькая овца лежат в поле
572408,305022,Корова стоят в поле с коровой поменьше.
437931,640543,Стадо овец стоят на покрытом травой поле.
191533,101378,Две овцы пасётся в зеленом поле с деревьями на заднем плане.
374100,544197,Две коровы в поле смотрит в камеру.
237566,111229,Две черные коровы пасётся на травянистом поле
310618,326535,Корова пытаются набрать воды из протекающей трубы.
213961,597283,Две коровы гуляет по песчаным дюнам на пляже.
545958,671544,Корова стоят возле белого здания с синим входом.
129416,792878,Группа коров пасутся в поле возле водоема.
361268,346464,Корова пасутся на траве на обочине тротуара.
339512,412522,"Молочные коровы выстраивается в очередь у забора, чтобы пастись на более сладкой траве."
167193,414371,Две коровы бодается на пастбище.
87444,154871,Корова сидят в загоне внутри здания.
539784,644822,У оживленной дороги пасутся большое стадо овец.
66800,488445,Слон стоят в траве.
108864,339290,Два слона скрещивает бивни в противостоянии в поле
94538,219262,Три слона и зебра вместе стоит на улице.
69928,590059,Статуя слона висят на стене здания.
359135,414469,Два слона играет друг с другом и сцепляется бивнями.
519461,579416,пара слонов стоят в загоне
11364,523448,Черный медведь идут по зеленому полю.
254479,108108,маленький медвежонок стоят между ветвями дерева
328499,781146,Бурый медвежонок и енот едят ягоды в лесу.
407019,652318,Белый медведь ходят около воды
98197,660644,Молодой черный медведь идут по травянистому полю.
539678,559876,Медведь сидят один на траве.
204381,763452,Белый полярный медведь стоят возле ветки дерева.
256091,489688,Группа зебр стоят в пустыне.
38825,798293,Две зебры пасётся вместе в травянистой местности.
63381,319594,одинокая зебра стоят у камней и ест траву
374486,544678,Два жирафа стоит вместе в поле.
352576,406866,Жираф стоят в лесу.
92109,751780,голова жирафа изображены на красочной фотографии
432529,461052,два жирафа стоит очень близко друг к другу
393282,532995,Два жирафа стоит посреди поля.
580693,562006,Жирафы сидит на сухом травяном поле днем
116289,317074,Два жирафа стоит рядом друг с другом около дерева.
165336,218690,Два жирафа стоит рядом друг с другом на поле.
155546,637366,В гостиной возле обеденного стола стоят кожаный диван.
284375,226746,Открытый ноутбук стоят на деревянном столе.
82258,450055,Несколько книг сложён на столе.
314935,416073,Два ноутбука стоит на коричневом столе.
47597,168925,Часы стоит поверх нескольких книг.
509260,706593,Старый телевизор показывают старую компьютерную игру перед двумя книжными стеллажами.
242615,48728,Две аккуратно заправленный кровати в комнате.
400922,108960,Вывеска висят на стене над часами.
500825,465840,Цветы стоит в высокой прозрачной вазе с водой.
88445,648789,украшенная ваза стоят на столешнице
435075,541767,Ваза наполнены множеством разноцветных цветов.
508115,482318,"Плюшевый мишка сидят у цветка, кофейного мешка и религиозной статуи."
161008,303279,Ножницы лежит на деревянном ящике.
498363,60149,"Ножницы прикован цепями, чтобы их не украли."
348012,611516,Ножницы лежит на рулоне клейкой ленты.
318730,621557,Ножницы перерезает кусок веревки.
237844,476305,Ноутбук стоят на столе с другими аксессуарами.
34080,729521,Маленькие ножницы лежит рядом с копейкой.
425905,352981,Ножницы торчит из деревянного стола.
481890,524555,Большой белый мишка лежат на кровати с подушками.
328745,130171,Два коричневых мишки сидит на кровати в черно-белую клетку.
73453,829306,маленький плюшевый мишка стоят на столе рядом с шоколадным десертом
523315,662720,Коричневый плюшевый мишка сидят возле подушки
343534,762309,кукла держатся за руки с двумя плюшевыми мишками
43073,441233,Мальчик в синей рубашке стоят рядом с женщиной.
293133,280841,Маленькая девочка помогают высушить волосы другому ребенку.
338094,502277,Женщина в гостиной сушат волосы вниз головой.
27570,774300,Женщина сушат волосы феном перед зеркалом.
478874,528121,Молодая девушка держат фен и расчесывают волосы.
24402,521948,Женщина сушат феном комок газет.
212058,489586,Женщина дуют на ребенка феном перед столом.
177262,607500,Кот сидят на стойке в ванной за феном.
361282,638785,Часы висит на деревянной стене.
208,76457,Игрушечный динозавр стоят на раковине рядом с открытым краном
518287,346953,Зубная щетка стоят в секции зубной пасты в держателе зубной щетки.
102668,102718,Большой белый автобус проезжают перекресток.
49994,232613,Светофор стоят рядом со стеной здания.
225093,479825,На рельсах стоят поезд с зеленой и оранжевой полосами.
57149,68122,Школьный автобус и серебристая машина ждёт на железнодорожном переезде.
369482,760970,светофор висят над городской улицей
449793,149429,Два светофора установлен на столбе на дороге.
340654,79780,Светофор и уличные знаки находится у красного пожарного гидранта.
258860,110323,Белый велосипед припаркованы рядом с коричневой кирпичной стеной.
187495,542197,Пожарный гидрант стоят на углу тротуара.
283054,20145,Пожарный гидрант установлены на улице рядом с бордюром.
331223,398370,Красный пожарный гидрант находятся рядом с предупредительной перегородкой.
511583,470814,Автомобиль припаркованы на улице ночью.
21671,347518,На тротуаре стоят сломанный розовый пожарный гидрант.
167422,180165,Красный пожарный гидрант стоят у реки с водой.
52005,631253,Желтый пожарный гидрант находятся рядом с кустами.
440559,497641,"Желтый пожарный гидрант стоят рядом с люком, из которого выходит пар."
186322,292307,Посеребренный ржавый пожарный гидрант стоят посреди прохода.
451014,552527,Синий и желтый пожарный гидрант стоят на обочине дороги.
535242,732235,красный знак «Стоп» находятся на дороге снаружи
88462,58590,Большой желтый школьный автобус останавливаются на дороге.
97892,97956,Белый демон парят рядом с красным знаком «Стоп» под знаком улицы с односторонним движением.
391321,644080,уличный фонарь находятся рядом со знаком «Стоп»
92244,124125,Кукла в платье стоят между двумя парковочными метрами.
258674,476865,Паркомат лежат криво на улице.
211653,316294,На выставке представлен паркоматы различных типов и размеров.
92212,200998,автомобили припаркован около дорожных знаков
67757,311794,"Вечером рекламный щит магазина стоят на тротуаре рядом с синей машиной, припаркованной у обочины."
38186,563755,Грузовик стоят рядом с бордюром с счетчиком.
288824,128023,пожарная машина едут по городской улице
503183,648903,Кукла на шарнирах стоят между двумя парковочными метрами и смотрит.
518030,464430,скамейка стоят на корнете с видом на воду
453584,706106,На красной скамейке изображены символ Coca-Cola.
57917,507535,Дерево растут на склоне возле скамейки.
330750,734260,Рядом со старым каменным зданием поставлены скамейка.
18485,115539,Деревянная скамейка стоят в зеленом парке.
154168,525100,Автобус проезжают по улице мимо высоких домов.
555298,543452,Собака спят между сумкой для книг и шредером под компьютерным столом.
111062,262639,Телевизор вмонтированы в стену между двумя полками.
406211,344731,Кошка сидят на стуле в гостиной.
78107,673218,Кошка сидят перед телевизором и пристально смотрят на него.
363461,948,Компьютерный стол и стул выглядит как домашний офис.
568879,466981,Один из двух мониторов рядом с ноутбуками включены.
423744,632926,ноутбук и монитор окружён множеством проводов
541664,322728,Ноутбук стоят на столе из лего.
482970,57954,Ноутбук стоят на столе с динамиком.
93948,688923,Кошка стоят рядом с тарелкой на компьютере.
119828,508898,Кот сидят на деревянном столе.
356790,354225,"Коллаж из четырех изображений показывают клавиатуры, мониторы и компьютерные мыши."
20481,733184,Ноутбук стоят на столе.
37367,503293,Ноутбук стоят на столе.
278313,729553,Хоккейная майка лежат на спинке дивана перед телевизором.
219632,760037,Черная кудрявая собака играют с фрисби.
528488,145610,собака играют во фрисби на снегу
403315,84923,Хаски несут фрисби в парке.
223032,691970,Собака держат в пасти белую фрисби.
212817,394031,Ребенок на сноуборде спускаются по склону.
96625,459091,Мужчина выполняют трюк на лыжах.
207178,792688,Два человека стоит на снегу с лыжами.
392665,713137,Две молодые девушки сидит в снаряжении для сноуборда
297698,736556,Лыжник в прыжке наклоняются вперед.
283186,85074,"Лыжник в шлеме и очках наклоняются, чтобы обойти препятствие."
263223,705288,Мужчина катаются на лыжах по заснеженному склону.
761,731103,Группа лыжников готовятся к спуску с горы.
85813,319423,Пара вместе катаются на лыжах с горы.
239235,713366,Группа людей едут вниз по заснеженной лыжной трассе.
112941,508064,Группа людей катаются на лыжах по склону заснеженной горы.
247692,568085,Группа мужчин катаются на лыжах по склону горнолыжного склона.
526040,743037,Человек на сноуборде упали в снег.
102903,129853,Человек в серой парке сидят на снегу
451104,338076,Человек стоят на тропинке в снегу.
296906,391836,Сноубордист в синем пальто выполняют воздушный трюк в альпийской зоне.
549683,516110,Мужчина пытаются кататься на сноуборде в темноте.
285462,439960,"Женщина держат в одной руке доску для сноуборда, а другую руку в воздухе."
203382,781909,медведь стоят в пруду
1682,694422,Лодка плывут по водоему.
359569,587089,Черно-коричневая собака идут по снегу с красной фрисби во рту.
66568,538013,"Два плюшевых мишки лежит, прислонившись к стене."
502090,491727,Воздушный змей летят по голубому небу с длинным хвостом.
7784,607568,большой воздушный змей летят высоко в небе.
228025,588888,Воздушный змей летят над песчаным коричневым пляжем.
44478,87628,Воздушный змей в форме самолета летят по воздуху.
384476,426936,Воздушный змей летят в голубом небе.
183416,49508,Воздушный змей в форме павлина летят над головой в голубом небе.
162357,432952,Воздушный змей зацепились за голую ветку дерева.
447501,798310,Зелёный воздушный змей-монстр парят в солнечном небе.
132686,411372,Небо наполнены множеством разноцветных воздушных змеев.
187890,777224,Воздушный змей-дракон пролетают перед монументом Вашингтона
550729,202357,Красочный воздушный змей лежат на зеленом поле.
308974,541563,Воздушный змей летят по кристально чистому голубому небу.
85911,639356,Воздушный змей плывут посреди большого водоема.
204067,637098,Игрок на домашней базе готовятся бить во время игры.
78671,740075,Бейсболист размахивают битой на поле
432820,781665,Бейсболист размахивают битой на поле.
115791,15050,Бейсболист стоят на ромбе с поднятой битой.
19176,108674,"Поле заполнены бейсболистами, играющими в бейсбол."
