img_id,caption_id,sent
455666,263911,Молодой человек в официальной одежде позирует перед камерой.
443053,38064,молодой человек катается на доске для серфинга на волне
484681,3007,Маленький мальчик улыбается в камеру и тянет рюкзак.
58651,167229,Зеленый поезд проходит через депо.
490620,477788,Маленькая девочка сидит у свежеприготовленной пиццы.
419444,436626,Молодой человек катается на скейтборде в наушниках.
379144,47252,Синий самосвал едет по шоссе.
258395,712380,Красная пожарная машина едет по улице.
190637,88188,маленький ребенок лежит в постели и играет в nintendo wii
134322,96999,"Полет воздушного змея между акваторией и строительным комплексом, вероятно, Япония."
87377,246997,красивая кошка прячется внутри коричневого чемодана
87595,518807,Белый кот сидит на кровати рядом с тумбочкой.
503668,414369,Лохматая собака лежит на зеленом и синем одеяле.
206831,714576,Большая коричневая собака держит во рту неоновую фрисби.
23937,701648,маленькая овца лежит в поле
237566,111229,Две черные коровы пасутся на травянистом поле
108326,741718,"Большая картина, на которой зебры и свиньи стоят рядом с оленями."
11364,523448,Черный медведь идет по зеленому полю.
254479,108108,маленький медвежонок стоит между ветвями дерева
328499,781146,Бурый медвежонок и енот едят ягоды в лесу.
407019,652318,Белый медведь ходит около воды
98197,660644,Молодой черный медведь идет по травянистому полю.
204381,763452,Белый полярный медведь стоит возле ветки дерева.
63381,319594,одинокая зебра стоит у камней и ест траву
42534,483345,«Портретный снимок» зебры на резком фоне.
155546,637366,В гостиной возле обеденного стола стоит кожаный диван.
284375,226746,Открытый ноутбук стоит на деревянном столе.
441225,413970,Ванная комната с ванной и двумя раковинами.
509260,706593,Старый телевизор показывает старую компьютерную игру перед двумя книжными стеллажами.
521181,84714,"В спальне большая кровать, покрытая одеялом."
508115,482318,"Плюшевый мишка сидит у цветка, кофейного мешка и религиозной статуи."
481890,524555,Большой белый мишка лежит на кровати с подушками.
4396,756284,плюшевый мишка в зеленом халате
175443,669925,Рождественская елка с огнями и плюшевым мишкой
328745,130171,Два коричневых мишки сидят на кровати в черно-белую клетку.
73453,829306,маленький плюшевый мишка стоит на столе рядом с шоколадным десертом
