img_id,caption_id,sent
455666,263911,молодая человек в официальной одежде позирует перед камерой.
443053,38064,молодая человек катается на доске для серфинга на волне
484681,3007,маленькая мальчик улыбается в камеру и тянет рюкзак.
58651,167229,зелёная поезд проходит через депо.
490620,477788,маленький девочка сидит у свежеприготовленной пиццы.
419444,436626,молодая человек катается на скейтборде в наушниках.
379144,47252,синяя самосвал едет по шоссе.
258395,712380,Красная пожарный машина едет по улице.
190637,88188,маленькая ребенок лежит в постели и играет в nintendo wii
134322,96999,"Полет воздушной змея между акваторией и строительным комплексом, вероятно, Япония."
87377,246997,красивый кошка прячется внутри коричневого чемодана
87595,518807,белая кот сидит на кровати рядом с тумбочкой.
503668,414369,лохматый собака лежит на зеленом и синем одеяле.
206831,714576,Большой коричневый собака держит во рту неоновую фрисби.
23937,701648,маленький овца лежит в поле
237566,111229,Два чёрные коровы пасутся на травянистом поле
108326,741718,"большой картина, на которой зебры и свиньи стоят рядом с оленями."
11364,523448,чёрная медведь идет по зеленому полю.
254479,108108,маленькая медвежонок стоит между ветвями дерева
328499,781146,бурая медвежонок и енот едят ягоды в лесу.
407019,652318,белая медведь ходит около воды
98197,660644,Молодая чёрная медведь идет по травянистому полю.
204381,763452,Белая полярная медведь стоит возле ветки дерева.
63381,319594,одинокий зебра стоит у камней и ест траву
42534,483345,«портретная снимок» зебры на резком фоне.
155546,637366,В гостиной возле обеденного стола стоит кожаная диван.
284375,226746,открытая ноутбук стоит на деревянном столе.
441225,413970,ванный комната с ванной и двумя раковинами.
509260,706593,старая телевизор показывает старую компьютерную игру перед двумя книжными стеллажами.
521181,84714,"В спальне большой кровать, покрытая одеялом."
508115,482318,"плюшевая мишка сидит у цветка, кофейного мешка и религиозной статуи."
481890,524555,Большая белая мишка лежит на кровати с подушками.
4396,756284,плюшевая мишка в зеленом халате
175443,669925,рождественский елка с огнями и плюшевым мишкой
328745,130171,Две коричневые мишки сидят на кровати в черно-белую клетку.
73453,829306,маленькая плюшевая мишка стоит на столе рядом с шоколадным десертом
523315,662720,Коричневая плюшевая мишка сидит возле подушки
293133,280841,маленький девочка помогает высушить волосы другому ребенку.
478874,528121,молодой девушка держит фен и расчесывает волосы.
208,76457,игрушечная динозавр стоит на раковине рядом с открытым краном
114303,661558,"ванный комната с ванной, полками и раковиной."
518287,346953,зубной щетка стоит в секции зубной пасты в держателе зубной щетки.
466583,587907,Ванный комната со стоячим душем рядом с раковиной и зеркалом.
102668,102718,Большая белая автобус проезжает перекресток.
155451,306282,зелёная свет светофора улица здания и другие огни
187495,542197,пожарная гидрант стоит на углу тротуара.
331223,398370,Красная пожарная гидрант находится рядом с предупредительной перегородкой.
523194,325096,пожарная гидрант на обочине дороги.
178810,581425,"Желто-красная пожарная гидрант, стоящий рядом с деревом."
13159,85191,"Табличка о том, что рядом есть пожарная гидрант."
117792,224950,Красная пожарная гидрант перед окном с большими окнами.
21671,347518,На тротуаре стоит сломанная розовая пожарная гидрант.
167422,180165,Красная пожарная гидрант стоит у реки с водой.
52005,631253,Желтая пожарная гидрант находится рядом с кустами.
440559,497641,"Желтая пожарная гидрант стоит рядом с люком, из которого выходит пар."
186322,292307,Посеребренная ржавая пожарная гидрант стоит посреди прохода.
451014,552527,Синяя и желтая пожарная гидрант стоит на обочине дороги.
535242,732235,красная знак «Стоп» находится на дороге снаружи
88462,58590,Большая желтая школьная автобус останавливается на дороге.
97892,97956,белая демон парит рядом с красным знаком «Стоп» под знаком улицы с односторонним движением.
391321,644080,уличная фонарь находится рядом со знаком «Стоп»
348584,609623,"Две парковочные счетчика, засыпанные снегом, видны только их лицевые стороны."
503252,678894,парковочная счетчик зеленого цвета с надписью «donation station»
462677,220627,Синяя парковочная счетчик рядом с улицей.
67757,311794,"Вечером рекламная щит магазина стоит на тротуаре рядом с синей машиной, припаркованной у обочины."
288824,128023,пожарный машина едет по городской улице
18485,115539,деревянный скамейка стоит в зеленом парке.
363461,948,компьютерная стол и стул выглядят как домашний офис.
278313,729553,хоккейный майка лежит на спинке дивана перед телевизором.
309424,560783,"офисный зона с двумя компьютерными мониторами и двумя жесткими чемоданами, установленными на стуле с колесиками."
219632,760037,Черный кудрявый собака играет с фрисби.
392665,713137,Два молодой девушки сидят в снаряжении для сноуборда
359569,587089,черно-коричневый собака идет по снегу с красной фрисби во рту.
502090,491727,воздушная змей летит по голубому небу с длинным хвостом.
7784,607568,большой воздушная змей летит высоко в небе.
228025,588888,воздушная змей летит над песчаным коричневым пляжем.
44478,87628,воздушная змей в форме самолета летит по воздуху.
384476,426936,воздушная змей летит в голубом небе.
183416,49508,воздушная змей в форме павлина летит над головой в голубом небе.
162357,432952,воздушная змей зацепился за голую ветку дерева.
351621,291302,Две воздушные змея летят высоко в ясном голубом небе.
447501,798310,Зелёная воздушная змей-монстр парит в солнечном небе.
187890,777224,воздушная змей-дракон пролетает перед монументом Вашингтона
216785,307276,воздушная змей высоко в воздухе на дереве.
308974,541563,воздушная змей летит по кристально чистому голубому небу.
85911,639356,воздушная змей плывет посреди большого водоема.
509270,770558,На ветру летают две воздушные змея.
397729,35903,маленькая ребенок размахивает бейсбольной битой во время игры в бейсбол.
464087,396465,"бейсбольная отбивающая совершает мощный удар, а кэтчер и судья смотрят на него."
63922,587726,маленькая мальчик на скейтборде в шлеме.
168260,672553,жёлтая грузовик спасателя стоит на пляже
353909,219206,синий доска для серфинга торчит из покрытой зеленой травой земли.
453310,763499,красная грузовик с фонарями на крыше и оборудованием сзади.
234677,219988,гигантская Соник стоит на пляже с доской для серфинга.
